lake,start_sampling,end_sampling,days_sampled,years_sampled,tsi,trophic_status,lake_lat,lake_long,Country,database_s,variables,ssr_statio,lake_area,lake_vol,lake_depth,ssr_id,ssr_source,ssr_lat,ssr_long,ssr_lake_d,ssr_start,ssr_end,ssr_years_,ssr_origin,climate_zone
USGS-492142094421501,2010,2010,9,1,49.59550225,mesotrophic,49.362,-94.704,Canada,USGS and USEPA water quality portal,"chla', 'secchi', 'TP', 'pH', 'temp'",ELA,3472.81,37000,10.7,MET,ELA,49.664,-93.7327,77.97336664,,,33,day,8
Ullevifjärden S.,1965,1974,38,10,54.12569924,eutrophic,59.596,17.523,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Stockholm,4.59,69.24,15.1,1414,GEBA,59.35,17.95,36.57006272,1922,2017,96,month,7
Ullswater -south buoy,2005,2008,49,4,44.70388601,mesotrophic,54.55,-2.945,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'secchi', 'TP', 'temp'",Eskdalemuir,8,145.28,18.2,1283,GEBA,55.31666667,-3.2,86.94430943,1956,2017,62,month,7
Ullswater -wfd,2005,2019,168,15,43.79801941,mesotrophic,54.563,-2.93,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'secchi', 'TP', 'temp'",Eskdalemuir,8,145.28,18.2,1283,GEBA,55.31666667,-3.2,85.68067241,1956,2017,62,month,7
Ulvhällsfjärden,1966,2019,197,54,57.85579001,eutrophic,59.368,17.055,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Stockholm,1083.13,14000,12.9,1414,GEBA,59.35,17.95,50.93772782,1922,2017,96,month,7
Upton great broad,2000,2019,214,20,51.99577257,eutrophic,52.666,1.533,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",Oostende / Airpt.,,,,2415,GEBA,51.2,2.866666667,187.0900236,1975,2008,30,month,10
Upton little broad,2007,2019,145,13,54.87896686,eutrophic,52.665,1.538,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",Oostende / Airpt.,,,,2415,GEBA,51.2,2.866666667,186.9282051,1975,2008,30,month,10
Vincent lake,1993,1993,7,1,58.60585111,eutrophic,54.115,-111.349,Canada,Alberta Environment and Parks data repository,"lat', 'long', 'chla', 'secchi', 'TP', 'DOC', 'pH', 'TKN', 'NO2', 'NH4'",Oliver AGDM,8.66,62.15,7.2,3014921,Climate ID,53.6466,-113.3546,141.8525825,2005,2020,16,day,7
Virginia water,2007,2019,144,13,56.53415749,eutrophic,51.408,-0.596,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,0.41,1.55,3.8,1299,GEBA,51.51666667,-0.116666667,35.4539791,1958,2006,49,month,10
Västeråsfjärden N.,1966,2019,263,54,59.32775455,eutrophic,59.593,16.553,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Norrkoepping,1083.13,14000,12.9,2103,GEBA,58.58333333,16.25,113.7779555,1988,2010,23,month,7
Västra Ringsjön,1975,2019,390,45,66.35283547,eutrophic,55.884,13.48,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Lund,14.34,74.83,5.2,2102,GEBA,55.71666667,13.21666667,24.92393956,1988,2017,30,month,7
Växjösjön mitt,1998,2019,78,22,60.23527497,eutrophic,56.863,14.82,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Vaexjoe / Kronoberg,0.77,2.6,3.4,2106,GEBA,56.93333333,14.73333333,9.450425483,1983,2017,35,month,7
Wabamun lake -east basin,1980,2016,81,37,53.08119882,eutrophic,53.54,-114.531,Canada,Alberta Environment and Parks data repository,"lat', 'long', 'chla', 'secchi', 'TP', 'DOC', 'pH', 'TKN', 'NO2', 'NO3', 'NH4'",EDMONTON STONY PLAIN,79.37,1006.35,12.7,301222F,ECCC,53.55,-114.11,27.9542769,1966,2006,40,day,7
Wabamun lake -main basin,1983,2012,114,30,54.80403127,eutrophic,53.54,-114.531,Canada,Alberta Environment and Parks data repository,"lat', 'long', 'chla', 'secchi', 'TP', 'DOC', 'pH', 'TKN', 'NO2', 'NO3', 'NH4'",EDMONTON STONY PLAIN,79.37,1006.35,12.7,301222F,ECCC,53.55,-114.11,27.9542769,1966,2006,40,day,7
Wabamun lake -west basin,1980,2008,62,29,55.4543099,eutrophic,53.556,-114.686,Canada,Alberta Environment and Parks data repository,"lat', 'long', 'chla', 'secchi', 'TP', 'DOC', 'pH', 'TKN', 'NO2', 'NO3', 'NH4'",EDMONTON STONY PLAIN,79.37,1006.35,12.7,301222F,ECCC,53.55,-114.11,38.206083,1966,2006,40,day,7
Wastwater -stillwater,2005,2019,174,15,33.80081571,oligotrophic,54.427,-3.319,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",Eskdalemuir,2.52,40.11,15.9,1283,GEBA,55.31666667,-3.2,99.36430045,1956,2017,62,month,10
Waynewood lake,1989,2019,79,31,54.50233668,eutrophic,41.396,-75.363,United States of America,Environmental data initiative,"chla', 'secchi', 'TP', 'DOC', 'NO3', 'NH4', 'temp', 'PAR', 'SRP'",Rock Springs,0.21,1,4.7,PSU,BSRN,40.72,-77.9333,228.7155613,1998,2019,22,day,7
West long lake,1989,2006,187,18,51.76312934,eutrophic,46.24,-89.5,United States of America,Environmental Data Initiative,"chla', 'Depth', 'DIC'",,0.65,2.39,3.7,,,,,,,,,,7
Westbere lakes,2007,2010,41,4,66.05280658,eutrophic,51.301,1.142,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,0.22,0.59,2.6,1299,GEBA,51.51666667,-0.116666667,90.7719188,1958,2006,49,month,10
Westbere lakes point 1,2007,2010,41,4,66.38058724,eutrophic,51.303,1.146,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,0.22,0.59,2.6,1299,GEBA,51.51666667,-0.116666667,91.00312182,1958,2006,49,month,10
Whirlpool lake,1980,1987,69,8,49.26391791,mesotrophic,50.715,-99.791,Canada,Open Canada,"chla', 'Depth'",,1.46,3.41,2.3,,,,,,,,,,7
White mere,2013,2019,78,7,63.62666463,eutrophic,52.893,-2.875,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP'",Aberporth,0.23,0.61,2.6,1293,GEBA,52.13333333,-4.566666667,142.5982879,1957,2017,61,month,10
Winagami lake,1984,1985,12,2,65.80189275,eutrophic,55.617,-116.733,Canada,Alberta Environment and Parks data repository,"lat', 'long', 'chla', 'secchi', 'TP', 'pH', 'TKN', 'NO2'",,46.8,262.43,5.6,,,,,,,,,,7
Winderemere -south basin (wfd),2007,2019,152,13,49.07992844,mesotrophic,54.316,-2.951,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",Eskdalemuir,12.57,195.37,15.5,1283,GEBA,55.31666667,-3.2,112.5590161,1956,2017,62,month,10
Windermere -north basin,1964,2013,1860,50,47.43837101,mesotrophic,54.385,-2.937,United Kingdom,UK Centre for Ecology and Hydrology,"chla', 'secchi', 'TP', 'pH', 'NO3', 'NH4', 'temp'",Eskdalemuir,12.57,195.37,15.5,1283,GEBA,55.31666667,-3.2,105.0709412,1956,2017,62,month,10
Windermere -north basin (wfd),2007,2019,147,13,45.31011032,mesotrophic,54.401,-2.956,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",Eskdalemuir,12.57,195.37,15.5,1283,GEBA,55.31666667,-3.2,103.1612409,1956,2017,62,month,10
Windermere -south basin,1964,2013,1859,50,51.78342413,eutrophic,54.33,-2.94,United Kingdom,UK Centre for Ecology and Hydrology,"chla', 'secchi', 'TP', 'pH', 'NO3', 'NH4', 'temp'",Eskdalemuir,12.57,195.37,15.5,1283,GEBA,55.31666667,-3.2,111.0998239,1956,2017,62,month,10
Windermere -stillwater,2005,2006,23,2,49.74527615,mesotrophic,54.274,-2.955,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",Eskdalemuir,,,,1283,GEBA,55.31666667,-3.2,117.1690308,1956,2017,62,month,10
Wingra,1999,2018,250,20,58.85549072,eutrophic,43.053,-89.425,United States of America,North Temperate Lakes LTER,"chla', 'Depth'",Madison,1.28,3.92,3.1,480,GEBA,43.13333333,-89.33333333,11.6339588,1950,2006,48,month,8
Wroxham broad,2000,2019,224,20,67.02221835,eutrophic,52.699,1.416,United Kingdom,UK Environment Agency,"lat', 'long', 'chla', 'TP', 'temp'",London Weather C.,0.2,0.42,2.1,1299,GEBA,51.51666667,-0.116666667,168.2904934,1958,2006,49,month,10
Ymsen,1996,2009,36,14,62.07527446,eutrophic,58.667,13.968,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Karlstad,13.09,57.4,4.4,2101,GEBA,59.36666667,13.46666667,83.09640168,1983,2017,35,month,7
lake monona,1999,2018,250,20,55.08390464,eutrophic,43.063,-89.361,United States of America,North Temperate Lakes LTER,"chla', 'Depth'",Madison,13.32,88.59,6.6,480,GEBA,43.13333333,-89.33333333,8.131814573,1950,2006,48,month,8
Älgsjön,1997,2010,112,14,56.20414061,eutrophic,59.206,17.088,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Stockholm,0.22,0.78,3.5,1414,GEBA,59.35,17.95,51.69146648,1922,2017,96,month,7
Öljaren,2017,2018,17,2,57.77743176,eutrophic,59.159,15.954,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Norrkoepping,17.82,137.44,7.7,2103,GEBA,58.58333333,16.25,66.33555913,1988,2010,23,month,7
Östra Ringsjön,1975,2019,394,45,63.46402669,eutrophic,55.874,13.49,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Lund,14.34,74.83,5.2,2102,GEBA,55.71666667,13.21666667,24.47585141,1988,2017,30,month,7
Övre Skärsjön,1996,2019,152,24,38.90738096,oligotrophic,59.837,15.55,Sweden,Water Information System Sweden (VISS),"chla', 'Depth'",Borlaenge,1.68,9,5.4,2099,GEBA,60.43333333,15.5,66.51333238,1988,2013,26,month,7
